,control_1,control_2,control_3,uvc_1,uvc_2,uvc_3
AT1G64385,83,226,65,433,163,122
AT1G64390,343,692,228,284,98,81
AT1G64400,2,32,29,108,33,38
AT1G64405,1,0,0,0,3,0
AT1G64430,541,588,247,878,182,311
AT1G64440,107,250,161,153,22,64
AT1G64450,40,52,49,0,0,0
AT1G64455,30,31,6,0,0,0
AT1G64460,245,281,35,301,114,90
AT1G64480,0,0,0,1,3,0
AT1G64490,60,106,59,257,48,87
AT1G64500,42,91,52,59,41,0
AT1G64510,1145,1872,742,1488,276,449
AT1G64520,350,565,196,750,141,151
AT1G64530,118,128,34,13,2,44
AT1G64540,0,0,0,0,0,0
AT1G64550,543,798,322,803,59,232
AT1G64561,5,33,3,9,31,99
AT1G64570,457,452,165,362,185,389
AT1G64580,29,65,85,8,47,57
AT1G64583,6,19,25,1,0,0
AT1G64584,0,0,0,0,0,0
AT1G64585,0,0,0,0,0,0
AT1G64590,0,0,3,0,0,0
AT1G64600,52,147,22,169,47,33
AT1G64610,54,31,39,2451,671,821
AT1G64620,40,161,11,151,18,28
AT1G64625,112,211,28,60,0,46
AT1G64630,140,306,38,523,102,196
AT1G64633,0,6,0,0,0,0
AT1G64640,66,156,46,19,67,57
AT1G64650,331,480,145,664,176,147
AT1G64660,2,8,13,8,9,36
AT1G64670,32,13,2,9,19,8
AT1G64680,680,709,290,509,177,105
AT1G64690,138,119,45,261,61,37
AT1G64700,145,132,80,294,14,58
AT1G64710,18,28,10,32,2,22
AT1G64720,3535,3795,2077,5088,1423,2361
AT1G64740,132,204,128,138,138,406
AT1G64750,456,745,196,983,326,324
AT1G64760,103,179,47,222,51,103
AT1G64770,310,533,156,164,41,105
AT1G64780,63,13,46,44,13,0
AT1G64790,1252,1828,620,3007,475,646
AT1G64795,0,0,0,0,0,0
AT1G64800,0,0,0,0,0,0
AT1G64810,39,121,24,45,0,6
AT1G64820,0,0,0,0,0,0
AT1G64830,2,0,0,2,0,2
AT1G64840,97,98,35,461,27,69
AT1G64850,274,292,77,14,12,141
AT1G64860,776,860,371,492,112,154
AT1G64870,0,0,0,0,0,0
AT1G64880,519,689,362,896,328,355
AT1G64890,50,56,96,16,30,0
AT1G64900,49,43,51,41,97,36
AT1G64910,1,0,0,0,0,0
AT1G64920,1,9,0,0,0,0
AT1G64930,0,0,0,0,0,0
AT1G64940,0,14,6,32,51,5
AT1G64950,242,164,142,244,86,95
AT1G64960,93,210,166,87,58,83
AT1G64970,11,18,34,0,0,57
AT1G64980,143,423,127,647,248,247
AT1G64990,295,268,246,362,170,98
AT1G65000,57,47,28,31,0,5
AT1G65010,1970,2509,1002,2247,844,697
AT1G65020,64,135,85,152,75,44
AT1G65030,103,83,93,289,111,284
AT1G65032,3,44,50,0,95,16
AT1G65040,227,350,37,123,4,60
AT1G65050,0,1,0,0,0,0
AT1G65060,0,0,0,2,0,1
AT1G65070,275,276,186,255,83,99
AT1G65080,32,49,8,98,24,17
AT1G65090,0,2,0,1,12,0
AT1G65110,19,27,0,0,0,0
AT1G65113,0,0,0,0,0,0
AT1G65120,11,22,15,2,31,0
AT1G65130,10,23,2,1,0,1
AT1G65140,0,0,0,0,0,0
AT1G65150,18,88,28,36,20,3
AT1G65160,0,0,0,0,1,0
AT1G65165,0,0,0,0,0,0
AT1G65170,0,0,0,0,0,0
AT1G65180,0,0,0,1,0,0
AT1G65190,196,289,46,188,17,84
AT1G65200,0,6,0,0,0,0
AT1G65210,0,0,0,0,0,0
AT1G65220,464,522,191,1211,317,360
AT1G65230,392,656,238,302,55,85
AT1G65240,0,6,0,49,25,42
AT1G65250,0,1,30,346,0,43
AT1G65260,480,931,422,1899,415,611
AT1G65270,274,414,192,518,102,99
AT1G65280,288,416,147,420,77,204
AT1G65290,572,913,342,1566,346,288
AT1G65295,178,104,86,290,44,45
AT1G65300,0,0,0,0,0,0
AT1G65310,0,0,0,10,1,0
AT1G65320,170,356,175,109,49,62
AT1G65330,1,3,0,0,0,1
AT1G65340,0,0,0,0,0,0
AT1G65342,0,0,0,0,0,0
AT1G65350,1,2,4,5,5,3
AT1G65346,0,0,0,0,0,0
AT1G65349,0,0,0,0,0,0
AT1G65352,0,0,0,0,0,0
AT1G65360,0,0,0,0,0,0
AT1G65370,48,215,48,109,26,59
AT1G65380,69,133,43,0,0,29
AT1G65390,6,29,0,197,46,52
AT1G65410,89,254,72,182,16,101
AT1G65420,108,100,64,85,0,10
AT1G65425,0,0,0,0,0,0
AT1G65430,388,320,153,208,117,222
AT1G65440,1859,1484,812,2920,1107,824
AT1G65450,0,0,0,0,0,0
AT1G65470,225,257,133,534,66,95
AT1G65480,18,11,1,0,1,0
AT1G65481,0,0,0,146,9,15
AT1G65483,0,0,0,0,0,0
AT1G65484,0,0,0,74,0,0
AT1G65486,12,26,4,208,8,46
AT1G65490,16,56,17,132,0,31
AT1G65500,20,12,1,200,189,66
AT1G65510,0,0,1,261,21,58
AT1G65520,28,44,27,242,76,153
AT1G65540,450,418,202,2803,1001,684
AT1G65541,58,60,34,226,169,40
AT1G65550,0,0,11,0,0,0
AT1G65560,45,67,13,0,26,7
AT1G65570,0,5,0,0,0,0
AT1G65580,340,524,257,753,232,335
AT1G65590,651,529,137,350,80,93
AT1G65610,1,17,11,2,0,177
AT1G65620,0,0,1,0,0,0
AT1G65630,0,1,0,0,0,0
AT1G65640,0,0,0,0,0,0
AT1G65650,124,158,81,467,74,93
AT1G65660,337,390,132,543,93,265
AT1G65670,0,0,0,0,0,0
AT1G65680,0,0,0,0,0,0
AT1G65681,0,0,0,0,0,0
AT1G65690,0,1,0,133,0,22
AT1G65700,132,167,29,122,44,42
AT1G65710,28,60,21,67,0,27
AT1G65720,721,686,369,1359,558,527
AT1G65730,0,0,0,0,0,0
AT1G65735,0,0,0,0,0,0
AT1G65740,0,0,0,0,0,0
AT1G65760,0,0,0,0,0,2
AT1G65770,0,0,0,0,0,0
AT1G65780,0,0,0,0,0,0
AT1G65790,3,0,0,19,89,65
AT1G65800,252,225,140,215,137,258
AT1G65810,0,0,0,0,0,1
AT1G65820,220,368,42,2109,570,590
AT1G65840,189,306,91,909,166,246
AT1G65845,2,20,0,761,228,44
AT1G65850,0,3,3,5,33,5
AT1G65860,16,18,18,98,27,54
AT1G65870,0,0,3,22,0,10
AT1G65880,0,0,0,2,0,0
AT1G65890,0,1,0,0,18,0
AT1G65900,216,193,39,228,28,57
AT1G65910,17,95,43,0,78,26
AT1G65920,135,68,23,335,1,24
AT1G65930,3214,5120,1769,4343,1436,1507
AT1G65950,156,161,105,276,0,116
AT1G65960,2995,3778,1689,3988,1048,1165
AT1G65970,49,49,32,19,27,1
AT1G65980,552,757,266,1623,399,401
AT1G65985,30,15,0,0,0,0
AT1G65990,0,5,0,0,0,0
AT1G66000,0,0,0,0,0,0
AT1G66020,3,0,0,0,0,0
AT1G66030,1,0,0,0,0,0
AT1G66040,1,0,0,0,0,0
AT1G66045,0,0,0,0,0,0
AT1G66050,1,2,2,0,0,2
AT1G66060,0,0,0,0,0,0
AT1G66070,191,222,156,470,168,444
AT1G66080,17,22,4,0,67,19
AT1G66090,23,0,0,1836,267,275
AT1G66100,0,0,0,57,0,0
AT1G66110,0,0,0,0,0,0
AT1G66120,0,1,0,0,0,0
AT1G66130,182,104,147,33,0,5
AT1G66140,347,436,303,202,74,57
AT1G66145,0,0,0,0,0,0
AT1G66150,837,1387,412,1564,580,340
AT1G66160,25,19,62,335,7,85
AT1G66170,0,0,2,5,0,5
AT1G66180,613,419,329,682,187,247
AT1G66190,184,190,149,22,19,83
AT1G66200,1625,2146,748,751,120,619
AT1G66210,0,0,0,0,1,0
AT1G66220,13,6,0,0,0,0
AT1G66230,40,106,39,303,14,5
AT1G66235,0,1,0,0,0,0
AT1G66240,974,1083,776,2971,717,631
AT1G66245,0,0,0,0,0,0
AT1G66250,52,81,26,431,158,79
AT1G66260,749,790,515,1504,486,603
AT1G66270,8,0,25,18,12,5
AT1G66280,1,0,6,7,0,3
AT1G66290,0,0,0,0,0,0
AT1G66300,0,0,0,0,0,0
AT1G66310,0,0,0,0,0,0
AT1G66320,0,0,0,0,0,0
AT1G66330,257,160,106,33,34,130
AT1G66340,147,229,44,783,322,289
AT1G66345,82,45,116,248,9,31
AT1G66350,15,90,34,123,0,27
AT1G66360,0,0,0,1,0,0
AT1G66370,0,0,0,0,0,0
AT1G66380,0,0,0,1,0,0
AT1G66390,0,0,0,0,0,0
AT1G66400,4,1,0,288,39,1
AT1G66410,1017,973,748,2880,571,757
AT1G66420,0,1,0,0,0,9
AT1G66430,385,676,204,967,232,230
AT1G66440,0,0,0,0,0,0
AT1G66450,0,2,0,0,0,0
AT1G66465,0,0,3,578,3,8
AT1G66460,0,2,0,53,0,0
AT1G66470,0,0,0,0,0,5
AT1G66480,250,149,81,1826,617,399
AT1G66490,0,0,0,51,0,4
AT1G66500,56,123,79,838,82,133
AT1G66510,48,129,31,186,33,12
AT1G66520,56,88,15,11,34,0
AT1G66530,269,263,108,139,47,89
AT1G66540,0,6,0,0,0,0
AT1G66550,0,0,0,138,5,30
AT1G66560,1,0,0,3,0,0
AT1G66570,0,1,0,186,38,5
AT1G66580,1030,1153,572,4827,963,1639
AT1G66590,9,36,0,392,0,45
AT1G66600,1,0,0,417,163,40
AT1G66610,0,2,0,0,0,1
AT1G66620,21,27,26,0,0,5
AT1G66630,0,1,0,1,0,0
AT1G66640,0,1,0,1,0,0
AT1G66650,0,9,0,0,0,8
AT1G66660,21,77,26,30,14,27
AT1G66670,493,776,544,534,137,256
AT1G66680,136,224,102,391,124,192
AT1G66690,0,41,3,92,23,13
AT1G66700,0,2,3,233,85,129
AT1G66720,0,0,0,0,0,0
AT1G66730,322,332,91,416,113,157
AT1G66740,91,86,41,319,69,128
AT1G66750,32,58,14,2,40,7
AT1G66760,3,3,0,273,199,146
AT1G66770,0,0,0,0,0,0
AT1G66780,0,19,0,159,42,63
AT1G66800,3,1,0,5,0,27
AT1G66810,13,71,2,89,111,33
AT1G66820,127,150,15,18,69,36
AT1G66830,127,175,15,93,78,50
AT1G66840,335,287,253,43,25,115
AT1G66850,0,0,0,0,0,0
AT1G66852,0,1,0,0,0,0
AT1G66855,0,0,0,0,0,0
AT1G66860,0,0,1,1,0,0
AT1G66870,0,0,0,0,0,0
AT1G66880,282,312,217,12285,3442,2977
AT1G66890,201,162,125,7,1,28
AT1G66900,89,144,167,268,14,86
AT1G66910,121,170,67,427,43,236
AT1G66920,0,18,0,5,68,44
AT1G66930,97,111,30,5,20,42
AT1G66940,379,632,220,295,1,113
AT1G66950,0,1,0,99,2,1
AT1G66960,1,1,0,101,0,1
AT1G66970,1433,2951,968,3873,1406,2094
AT1G66980,424,747,447,644,230,234
AT1G67000,9,0,0,116,32,4
AT1G67020,0,0,0,0,0,3
AT1G67025,0,0,0,0,0,0
AT1G67030,0,2,2,20,11,0
AT1G67035,15,16,8,95,1,0
AT1G67040,203,159,69,155,0,35
AT1G67050,359,628,344,1210,319,247
AT1G67060,84,162,17,193,131,102
AT1G67070,6,10,40,80,0,0
AT1G67080,312,466,175,28,36,36
AT1G67090,42294,83006,36568,65397,18781,20999
AT1G67100,0,0,0,0,0,0
AT1G67110,0,2,1,0,0,0
AT1G67120,1286,1802,549,2707,853,891
AT1G67130,0,1,1,1,0,0
AT1G67140,553,990,292,1061,359,262
AT1G67148,0,0,0,0,1,0
AT1G67150,0,0,0,67,0,1
AT1G67160,0,0,0,68,0,10
AT1G67170,69,71,24,527,74,124
AT1G67180,8,56,7,135,64,6
AT1G67190,55,105,46,371,10,22
AT1G67210,19,18,13,0,0,9
AT1G67220,0,0,0,0,0,0
AT1G67230,2066,1826,866,7778,1747,2807
AT1G67235,0,5,0,0,0,0
AT1G67250,160,246,154,936,121,169
AT1G67260,0,1,0,0,0,0
AT1G67265,0,1,0,0,0,0
AT1G67270,0,0,0,0,0,0
AT1G67280,836,921,512,1257,266,722
AT1G67290,0,1,1,0,0,0
AT1G67300,290,213,54,614,74,80
AT1G67310,309,332,229,1639,188,485
AT1G67320,94,102,4,293,53,8
AT1G67325,86,233,57,24,17,38
AT1G67330,0,3,0,0,16,8
AT1G67340,219,268,72,140,64,149
AT1G67350,385,547,238,458,113,304
AT1G67360,48,86,53,143,153,37
AT1G67370,31,19,0,0,0,25
AT1G67390,0,0,0,1,1,0
AT1G67400,14,62,4,4,19,17
AT1G67410,73,92,48,31,53,17
AT1G67420,48,75,36,89,26,18
AT1G67430,1203,2328,569,2287,639,772
AT1G67440,125,195,45,77,11,87
AT1G67450,0,1,0,0,0,0
AT1G67455,0,1,0,0,0,0
AT1G67460,9,15,0,36,0,0
AT1G67470,15,31,5,796,130,266
AT1G67480,352,288,235,832,230,300
AT1G67490,235,291,162,223,20,120
AT1G67500,152,202,110,397,117,139
AT1G67510,198,194,94,116,104,89
AT1G67520,88,73,20,775,134,193
AT1G67530,121,134,170,231,66,101
AT1G67540,0,0,0,11,0,0
AT1G67550,201,267,41,393,33,122
AT1G67560,276,497,245,424,150,351
AT1G67570,13,28,25,104,68,11
AT1G67580,292,379,417,680,670,242
AT1G67590,71,97,7,16,3,49
AT1G67600,15,9,0,0,0,0
AT1G67620,34,48,4,317,2,187
AT1G67623,1,0,0,3,0,0
AT1G67630,26,47,57,303,5,29
AT1G67635,0,1,0,8,0,0
AT1G67640,0,0,0,0,0,0
AT1G67650,0,12,0,111,0,9
AT1G67660,82,178,89,170,47,19
AT1G67670,0,10,0,0,0,0
AT1G67680,482,571,244,1624,411,411
AT1G67690,147,120,47,31,15,21
AT1G67700,811,1307,423,1197,184,446
AT1G67710,72,63,38,68,47,22
AT1G67720,1259,1217,692,2333,314,361
AT1G67730,258,548,209,648,131,137
AT1G67740,2809,4568,1358,4534,1088,1858
AT1G67750,334,608,156,326,161,101
AT1G67760,0,0,0,0,0,0
AT1G67770,0,0,0,0,0,0
AT1G67775,0,0,0,0,0,0
AT1G67780,12,5,0,1,1,8
AT1G67785,545,584,322,1658,221,323
AT1G67790,144,175,63,145,0,90
AT1G67800,44,24,9,1131,346,301
AT1G67810,95,29,6,1895,276,679
AT1G67820,45,39,0,59,18,13
AT1G67830,248,266,10,7,44,63
AT1G67840,440,476,388,319,35,164
AT1G67850,148,201,104,1065,137,191
AT1G67855,36,17,16,30,40,114
AT1G67856,66,47,40,198,96,152
AT1G67860,1456,1143,987,3820,1452,1420
AT1G67865,1457,1063,874,11523,2994,3776
AT1G67870,3820,3094,2511,13061,3893,3977
AT1G67880,234,231,119,708,119,141
AT1G67890,342,434,275,138,172,242
AT1G67900,421,453,138,361,171,99
AT1G67910,112,238,137,7,28,11
AT1G67920,0,2,4,713,82,154
AT1G67930,260,411,136,710,178,203
AT1G67940,50,66,5,157,23,23
AT1G67950,61,194,89,24,33,49
AT1G67960,152,204,102,194,26,3
AT1G67970,101,51,82,1855,344,521
AT1G67980,0,1,0,24,10,54
AT1G67990,0,6,1,0,0,2
AT1G68000,210,302,115,616,185,330
AT1G68010,2398,3274,1178,2895,378,607
AT1G68020,294,344,202,879,97,208
AT1G68030,0,3,1,0,1,22
AT1G68040,0,0,0,0,0,0
AT1G68050,100,243,71,789,384,313
AT1G68060,528,747,307,649,126,350
AT1G68070,137,158,87,204,1,71
AT1G68080,60,51,1,0,0,30
AT1G68090,0,0,0,1,0,0
AT1G68100,212,129,105,2,34,154
AT1G68110,60,73,43,0,74,0
AT1G68120,17,4,1,0,17,1
AT1G68130,572,567,490,167,112,180
AT1G68140,359,350,298,558,92,240
AT1G68150,0,21,0,5,0,2
AT1G68160,130,126,22,870,101,77
AT1G68170,0,0,0,2,1,0
AT1G68180,15,18,17,0,0,7
AT1G68185,25,52,42,122,1,51
AT1G68190,242,179,76,184,35,77
AT1G68200,0,0,0,29,49,17
AT1G68210,0,1,0,0,0,0
AT1G68220,221,228,142,51,1,19
AT1G68230,246,341,91,148,87,64
AT1G68238,66,52,88,6,2,23
AT1G68240,0,0,0,0,0,0
AT1G68250,0,0,0,0,0,1
AT1G68260,93,131,55,212,94,22
AT1G68270,0,0,0,0,0,0
AT1G68280,0,0,0,1,0,0
AT1G68290,36,33,18,168,43,37
AT1G68300,199,182,51,1065,131,265
AT1G68310,44,127,41,845,129,137
AT1G68320,0,0,0,1,0,0
AT1G68325,0,0,0,0,0,0
AT1G68330,2,40,8,465,92,89
AT1G68340,50,36,5,1878,380,371
AT1G68350,0,0,0,0,0,0
AT1G68360,1,1,7,0,0,0
AT1G68370,227,381,105,442,268,308
AT1G68380,0,0,0,0,0,0
AT1G68390,5,32,27,2109,642,404
AT1G68400,313,452,177,451,74,44
AT1G68410,178,207,80,618,96,285
AT1G68420,0,0,0,0,0,0
AT1G68430,74,62,19,0,0,7
AT1G68440,235,380,213,797,234,175
AT1G68450,0,0,0,0,52,0
AT1G68460,0,0,0,0,0,0
AT1G68470,2,21,0,0,0,1
AT1G68480,0,0,0,2,0,1
AT1G68490,912,916,514,972,167,220
AT1G68500,0,2,8,0,2,0
AT1G68510,0,13,0,0,0,1
AT1G68520,2340,3125,1823,327,148,365
AT1G68526,0,0,0,0,0,0
AT1G68530,116,150,83,22,92,543
AT1G68540,72,108,56,83,0,8
AT1G68550,231,267,125,371,114,195
AT1G68560,3320,4976,2024,6265,1269,1794
AT1G68570,653,850,403,641,62,78
AT1G68580,549,795,499,2109,146,462
AT1G68585,28,171,64,3,12,10
AT1G68590,1271,2804,1039,1436,174,476
AT1G68600,91,120,27,0,0,9
AT1G68610,0,1,0,0,0,0
AT1G68620,0,2,0,213,42,47
AT1G68630,0,1,0,15,0,0
AT1G68640,0,4,0,0,0,2
AT1G68650,111,152,55,86,64,44
AT1G68660,227,389,185,120,63,89
AT1G68670,467,463,169,697,140,164
AT1G68680,82,153,140,550,61,66
AT1G68690,32,77,15,233,27,55
AT1G68700,0,5,0,0,0,0
AT1G68710,704,590,314,450,69,182
AT1G68720,468,433,184,222,223,284
AT1G68723,39,113,40,499,177,152
AT1G68725,50,152,93,571,243,206
AT1G68730,91,101,6,211,21,22
AT1G68740,10,77,55,147,21,0
AT1G68750,0,0,0,0,2,0
AT1G68760,46,78,11,13,9,61
AT1G68765,0,0,0,637,141,250
AT1G68780,17,37,0,81,14,12
AT1G68790,653,765,280,1125,161,300
AT1G68795,0,1,16,0,2,33
AT1G68800,7,8,4,3,0,1
AT1G68810,452,697,338,1196,107,234
AT1G68820,106,156,26,143,129,34
AT1G68825,0,0,0,0,0,0
AT1G68830,432,347,224,292,76,176
AT1G68840,255,444,137,1961,799,798
AT1G68845,0,1,0,0,0,0
AT1G68850,0,0,1,0,0,1
AT1G68862,15,51,13,3,0,60
AT1G68870,52,15,10,187,1,13
AT1G68875,0,0,0,0,0,2
AT1G68877,0,0,0,0,0,0
AT1G68880,1,5,0,0,0,6
AT1G68890,659,1193,367,689,245,208
AT1G68905,1,0,0,0,0,0
AT1G68907,0,0,0,0,0,0
AT1G68910,213,100,76,526,45,88
AT1G68920,141,157,77,489,1,72
AT1G68930,101,47,67,0,37,8
AT1G68940,57,181,56,379,2,43
AT1G68935,17,48,11,48,0,20
AT1G68937,5,39,5,0,0,0
AT1G68945,220,472,109,1685,298,398
AT1G68960,0,0,0,0,0,0
AT1G68980,107,121,49,305,71,72
AT1G68990,241,322,119,1017,143,207
AT1G69010,94,163,19,43,1,37
AT1G69020,14,21,2,2,1,1
AT1G69030,117,184,119,285,1,124
AT1G69040,714,899,396,127,132,128
AT1G69050,6,1,0,31,0,12
AT1G69060,106,268,170,1097,218,182
AT1G69070,340,503,155,1711,422,392
AT1G69080,49,208,15,45,39,19
AT1G69085,2,22,1,0,0,9
AT1G69090,0,0,0,0,0,0
AT1G69100,0,0,0,0,0,0
AT1G69120,0,0,0,0,0,0
AT1G69150,0,0,0,0,0,27
AT1G69160,48,50,17,0,3,104
AT1G69170,64,104,38,13,2,5
AT1G69180,0,0,0,0,0,0
AT1G69190,0,0,2,0,0,0
AT1G69200,309,399,87,67,13,79
AT1G69210,2,72,42,5,39,29
AT1G69220,485,403,180,361,62,128
AT1G69230,0,6,0,9,0,4
AT1G69240,12,0,0,0,0,0
AT1G69250,230,376,116,1610,283,390
AT1G69260,5,4,0,170,43,64
AT1G69270,7,84,0,885,180,320
AT1G69280,76,63,14,0,4,38
AT1G69290,141,81,39,82,7,70
AT1G69295,671,429,352,524,198,234
AT1G69310,75,56,62,124,120,25
AT1G69320,0,0,0,0,0,0
AT1G69325,151,190,115,271,37,113
AT1G69330,126,118,128,257,13,28
AT1G69340,289,381,149,880,240,98
AT1G69350,14,30,10,119,1,16
AT1G69360,350,326,92,21,14,55
AT1G69370,52,103,67,219,0,85
AT1G69380,61,95,28,103,23,20
AT1G69390,131,229,70,104,77,113
AT1G69400,22,55,32,1,0,0
AT1G69410,882,779,414,2002,531,388
AT1G69420,546,704,231,457,118,202
AT1G69430,15,8,1,196,5,13
AT1G69440,55,38,14,19,4,0
AT1G69450,3,50,11,0,0,25
AT1G69460,479,360,160,504,97,90
AT1G69470,0,0,0,0,0,0
AT1G69480,0,0,0,0,0,0
AT1G69485,9,13,0,4,0,0
AT1G69490,90,47,17,55,0,78
AT1G69500,0,0,0,0,0,0
AT1G69510,1324,1212,701,2680,813,884
AT1G69520,7,71,19,206,48,92
AT1G69523,31,45,14,55,6,19
AT1G69526,11,8,2,0,6,13
AT1G69530,1041,2677,758,835,160,260
AT1G69540,0,0,6,0,2,0
AT1G69550,299,415,261,1729,477,544
AT1G69560,0,0,0,0,0,0
AT1G69570,248,304,312,90,22,21
AT1G69580,406,610,389,433,107,173
AT1G69588,79,97,32,0,0,10
AT1G69600,0,0,0,0,0,0
AT1G69610,138,23,15,76,33,13
AT1G69620,1029,1341,541,1142,465,383
AT1G69630,0,0,3,1,0,20
AT1G69640,197,293,94,759,226,272
AT1G69650,0,0,0,0,0,0
AT1G69660,0,0,0,0,0,0
AT1G69670,334,195,98,724,119,126
AT1G69680,89,143,34,203,43,34
AT1G69690,229,557,193,921,60,84
AT1G69700,226,368,183,268,159,61
AT1G69710,0,5,0,72,62,4
AT1G69720,0,17,0,6,0,0
AT1G69730,161,128,40,954,62,321
AT1G69740,800,1381,607,1284,413,578
AT1G69750,112,96,84,60,40,100
AT1G69760,247,709,273,497,75,172
AT1G69770,222,293,172,114,153,84
AT1G69780,53,176,3,206,59,4
AT1G69790,2,1,1,1137,244,265
AT1G69800,180,171,154,234,9,61
AT1G69810,0,0,0,1,0,2
AT1G69818,0,0,0,0,0,0
AT1G69820,1,3,0,0,0,0
AT1G69825,0,0,0,0,0,0
AT1G69828,0,0,0,0,0,0
AT1G69830,912,1264,757,3036,625,1039
AT1G69840,156,143,80,5621,1141,1300
AT1G69850,728,835,351,385,124,122
AT1G69860,0,7,0,0,0,0
AT1G69870,966,1162,450,187,75,355
AT1G69880,0,0,0,17,0,11
AT1G69890,0,12,6,2713,1047,813
AT1G69900,0,4,0,0,12,15
AT1G69910,171,241,87,778,155,202
AT1G69920,0,0,1,971,510,357
AT1G69930,0,2,3,1874,421,280
AT1G69935,164,267,102,256,14,51
AT1G69940,0,0,0,1,0,0
AT1G69960,236,280,84,1803,153,391
AT1G69970,350,302,219,162,36,111
AT1G69980,189,136,65,395,48,95
AT1G69990,0,0,0,2,0,0
AT1G70000,3,49,89,301,80,122
AT1G70020,0,9,0,0,0,0
AT1G70030,0,0,0,0,0,0
AT1G70040,0,0,0,0,0,0
AT1G70060,367,644,244,615,157,522
AT1G70070,344,601,137,412,34,119
AT1G70080,0,0,0,0,0,0
AT1G70090,197,378,86,185,83,134
AT1G70100,228,542,226,434,12,113
AT1G70110,0,1,0,2,0,0
AT1G70120,0,0,1,0,0,0
AT1G70130,26,3,0,584,79,39
AT1G70140,1,11,12,1238,177,245
AT1G70150,48,58,54,1,6,2
AT1G70160,351,399,352,3279,717,1441
AT1G70170,0,0,0,2,119,18
AT1G70175,0,0,0,2,0,0
AT1G70180,108,215,96,286,256,172
AT1G70190,216,118,93,347,57,79
AT1G70200,619,553,186,487,54,96
AT1G70210,304,398,150,393,110,74
AT1G70209,0,0,24,0,0,0
AT1G70220,25,0,0,42,0,1
AT1G70230,22,47,26,16,24,20
AT1G70250,19,116,42,87,12,16
AT1G70260,0,0,6,0,2,0
AT1G70270,0,0,0,1,0,0
AT1G70280,634,714,377,493,118,154
AT1G70290,1604,1447,844,1154,372,291
AT1G70300,69,168,132,17,63,13
AT1G70310,427,688,260,610,50,141
AT1G70320,3668,4312,1591,12554,2936,3541
AT1G70330,209,332,197,191,92,249
AT1G70335,61,127,114,3,20,104
AT1G70340,155,161,102,334,34,114
AT1G70350,31,51,13,83,0,8
AT1G70360,44,49,2,201,0,22
AT1G70370,2385,4194,1457,2043,498,622
AT1G70380,0,0,0,0,0,0
AT1G70390,0,0,0,0,2,0
AT1G70400,1,0,0,0,4,0
AT1G70410,1565,2293,950,2298,653,524
AT1G70420,9,70,1,483,155,135
AT1G70430,67,67,20,31,0,53
AT1G70440,0,6,0,379,44,137
AT1G70450,0,0,0,0,0,6
AT1G70460,18,29,1,0,0,27
AT1G70470,275,379,228,115,22,38
AT1G70475,225,296,211,53,20,38
AT1G70480,226,248,63,391,100,78
AT1G70490,1149,1121,667,1454,639,534
AT1G70500,80,85,133,632,116,102
AT1G70505,72,165,23,305,146,75
AT1G70510,0,23,9,0,1,0
AT1G70520,131,236,127,2556,634,632
AT1G70530,176,164,67,2077,570,638
AT1G70540,0,0,0,0,0,0
AT1G70550,331,508,124,580,160,212
AT1G70560,79,101,29,0,4,9
AT1G70570,192,324,155,397,69,102
AT1G70580,405,513,228,465,19,36
AT1G70590,134,59,11,531,97,54
AT1G70600,832,1601,634,2191,687,651
AT1G70610,163,170,95,264,94,64
AT1G70620,783,758,392,1845,293,509
AT1G70630,37,33,32,349,86,22
AT1G70640,0,5,0,0,0,0
AT1G70650,580,720,461,795,50,243
AT1G70660,537,664,433,494,41,219
AT1G70670,476,639,317,360,72,83
AT1G70680,0,1,3,1,0,0
AT1G70690,21,31,50,440,68,92
AT1G70700,464,631,262,1624,837,617
AT1G70710,192,231,99,404,87,69
AT1G70720,0,0,0,0,0,0
AT1G70730,640,1194,441,881,247,182
AT1G70740,75,196,62,524,118,162
AT1G70750,304,190,187,1575,410,551
AT1G70760,545,1176,584,754,276,317
AT1G70770,651,1335,758,1997,658,839
AT1G70780,487,822,481,1481,267,236
AT1G70790,33,39,50,8,16,26
AT1G70800,41,32,41,97,50,28
AT1G70810,84,83,40,525,72,86
AT1G70820,546,763,352,875,181,413
AT1G70830,81,212,2,184,71,143
AT1G70840,0,0,0,0,0,0
AT1G70850,15,6,29,216,52,5
AT1G70860,0,0,0,0,0,0
AT1G70870,0,0,0,0,0,0
AT1G70880,0,0,0,0,0,8
AT1G70890,0,37,0,0,8,15
AT1G70895,0,17,0,0,0,32
AT1G70900,138,336,125,458,0,6
AT1G70910,27,8,0,0,0,0
AT1G70920,8,8,7,47,0,12
AT1G70940,1013,1813,484,1339,288,225
AT1G70944,0,0,0,0,0,0
AT1G70949,0,0,0,0,0,0
AT1G70950,0,46,14,6,1,0
AT1G70960,0,0,0,0,0,0
AT1G70970,0,0,1,0,0,0
AT1G70980,248,215,104,663,352,272
AT1G70985,0,2,0,0,0,2
AT1G70990,1,0,0,85,50,9
AT1G71000,1,4,0,1,3,0
AT1G71010,1047,1070,436,3459,695,624
AT1G71015,2,1,2,80,5,11
AT1G71020,303,242,115,100,28,53
AT1G71030,55,64,34,50,16,53
AT1G71040,203,253,42,400,220,557
AT1G71050,115,113,165,50,25,0
AT1G71060,8,77,10,114,0,0
AT1G71070,118,264,113,205,57,46
AT1G71080,173,225,156,660,90,244
AT1G71090,170,214,71,278,166,21
AT1G71100,197,84,96,1800,878,463
